customer_id,name,dob,ssn_hash,risk_rating,kyc_status,country,created_at,created_by
CUST000001,Divya Sharma,1976-12-20,7683e8db0b4e,low,verified,GB,2020-07-03 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000002,Priya Singh,1975-11-15,3e7255d3c62e,medium,verified,AE,2023-09-01 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000003,Diego Martinez,1955-08-01,62f4a13e17ee,high,pending,GB,2019-10-16 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000004,Ananya Miller,1987-03-17,2a757d50bbe2,medium,verified,US,2021-11-09 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000005,Lucas Singh,1981-04-20,2cc4a889de60,medium,verified,NG,2025-01-18 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000006,Liam Singh,1964-01-23,c2a580e04e7f,low,pending,AE,2022-04-06 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000007,Emma Zhang,1961-05-28,e796fba01ab0,high,verified,AU,2024-10-31 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000008,Hassan Mehta,1984-02-04,b34ddeeb1cd3,low,verified,AU,2018-08-18 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000009,Elena Zhang,1974-01-28,e912351e9c7a,medium,pending,SG,2025-05-08 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000010,Hassan Anderson,1993-06-08,8f5c23f7c5e9,medium,verified,GB,2024-07-18 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000011,Sneha Kumar,1969-05-09,0e85250e6a1c,medium,expired,CN,2025-08-19 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000012,Hassan Sharma,1965-04-11,8cccf05a5a16,medium,verified,AU,2025-08-24 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000013,Aarav Ivanov,1999-11-29,9b1d73c685bc,medium,verified,GB,2020-01-02 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000014,Meera Garcia,2003-05-23,703e64abbddc,low,,CN,2023-12-13 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000015,Olivia Mehta,1976-08-10,08ea023624cd,low,verified,IN,2024-05-12 00:00:00,CUSTOMER_ONBOARDING_SVC
CUST000016,Arjun Gupta,1997-08-22,44381237743f,low,verified,AU,2024-03-01 00:00:00,CUSTOMER_ONBOARDING_SVC
